X,Y,OBJECTID,REPORTINGAGENCYid,ReportingAgency,REPORTNUMBER,ACCIDENTDATE,STREETADDRESS,INTERSECTIONWITH,DirOfCollision,RoadGroup,AOTACTUALMILEPOINT,RoadCharacteristics,NonReportableAddress,CITYORTOWNid,CITYORTOWN,EASTING,NORTHING,AOTROUTEid,AOTROUTE,LRSNUMBER,HOWMAPPED,Animal,Impairment,Involving,Weather,DayNight,InjuryType,LOC_ERROR,RDFLNAME,SurfaceCondition,RoadCondition,Route,LATITUDE,LONGITUDE,AOTROADWAYGROUPid
477398,273486,1001,VTVSP0700,VSP - A2 St. Albans,18A202633,2018-05-29T00:05:00.000Z,3459 Water Tower Road,Mineral Brook Road,Single Vehicle Crash,Minor Collector - Non Fed Aid Rural TH,999.99,Not at a Junction,,0602,Berkshire,477398,273486,S0810,WATER TOWER RD,,XY,None/Other,Alcohol,None,Cloudy,Night,Fatal,INVALID LOCATION ROUTE ID,WATER TOWER RD,Dry,None,WATER TOWER RD,44.96119378,-72.78647396,4
453610.0,181592.000000001862645,1002,VT0010100,Bristol PD.,18BR00386,2018-02-20T14:23:00.000Z,11 West Street - Parking Lot,West Street,"Left Turn and Thru, Head On ^v--","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,0103,Bristol,453610,181592,0000,Unknown,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,44.13309488,-73.07970207,9
453856,256752,1003,VT0060100,St. Albans PD.,18SA003690,2018-05-05T10:22:00.000Z,51 S Main St,Tim's Place,Other - Explain in Narrative,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,0612,St. Albans City,453856,256752,0000,Unknown,,XY,None/Other,None,Pedestrian,Clear,Day,Injury,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,44.80947696,-73.08332679,9
451340.000000000931323,221293.0,1004,VT0040200,Essex PD.,18ES01117,2018-02-28T00:00:00.000Z,4 PEARL ST,,Other - Explain in Narrative,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,0406,Essex,451340,221293,0000,Unknown,,XY,None/Other,None,None,,,Property Damage Only,INVALID LOCATION ROUTE ID,,Unknown,Unknown,Unknown,44.4902257,-73.11176738,9
442805.17312499973923,220127.71828125230968,1005,VT0040100,Burlington PD,18BU019105,2018-08-22T08:49:00.000Z,45 Cherry St,Battery St,,Street or Town Highways in FA Urban Area,999.99,,,0403,Burlington,,,0000,CHERRY ST,,GEOCODE,None/Other,None,None,,Day,Property Damage Only,INVALID LOCATION ROUTE ID,CHERRY ST,,,CHERRY ST,44.47911451,-73.21893307,5
444507.395468750968575,221111.389374999329448,1006,VT0040100,Burlington PD,18BU020153,2018-09-02T16:28:00.000Z,Riverside Ave,Hillside Ter,Rear End,"State Highway numbered route, Class 1 TH",999.99,Not at a Junction,,0403,Burlington,,,0070,US-7,,GEOCODE,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,RIVERSIDE AVE,Dry,None,US-7,44.48809904,-73.19764341,11
515497.0,232158.00000000372529,1007,VT0030100,Hardwick PD.,18HW001444,2018-07-31T12:27:00.000Z,322 Blacks Point,Birch Lane,Single Vehicle Crash,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",999.99,Not at a Junction,,1009,Greensboro,515497,232158,T0050,TOWN ROAD 0050,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,BLACKS PT,Dry,None,TOWN ROAD 0050,44.58947555,-72.30483597,6
458876.000000000931323,83793.00000000372529,1008,VT0020000,Bennington CSD,18BNC002727,2018-07-23T15:25:00.000Z,2971 US Route 7,,Other - Explain in Narrative,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,0203,Dorset,458876,83793,0000,Unknown,,XY,None/Other,None,None,Rain,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Wet,None,Unknown,43.25318388,-73.00643738,9
501039.0,88580.000000001862645,1009,VT0140200,Springfield PD.,18SF006595,2018-07-19T17:06:00.000Z,114 Park Street,114 Park Street,Single Vehicle Crash,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",999.99,Driveway,,1418,Springfield,501039,88580,0000,Unknown,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,43.29739378,-72.48719556,6
494646.000000000931323,37417.0,1010,VT0130200,Brattleboro PD.,18BB04624,2018-06-15T10:27:00.000Z,564 Canal St,Circle K Parking Lot,Same Direction Sideswipe,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,1302,Brattleboro,494646,37417,0000,Unknown,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,42.83682158,-72.56548955,9
