,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
54636,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None', 'Animal_None/Other'})",0.0016188582788980402,0.03544447600113604,0.0012780460096563477,0.7894736842105264,22.273532388663973,0.0012206664262407057,4.581638738994606
34353,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None', 'Animal_None/Other'})",0.0021300766827605793,0.03544447600113604,0.001647259301334848,0.7733333333333333,21.818162393162396,0.0015717598494721613,4.2553920176420466
54623,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None'})",0.0016188582788980402,0.037801760863391085,0.0012780460096563477,0.7894736842105264,20.884574320850966,0.001216850316125723,4.570441635898895
40029,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None'})",0.0016188582788980402,0.037801760863391085,0.0012780460096563477,0.7894736842105264,20.884574320850966,0.001216850316125723,4.570441635898895
34349,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None'})",0.0021016756603237717,0.037801760863391085,0.001647259301334848,0.7837837837837838,20.734054866286268,0.0015678122606108793,4.450166856006816
26059,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Animal_None/Other'})",0.0016188582788980402,0.039165009940357855,0.0013064470320931553,0.8070175438596491,20.605574850832664,0.001243044431508083,4.978872221218144
54617,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Animal_None/Other'})",0.0015904572564612327,0.039165009940357855,0.0012780460096563477,0.8035714285714286,20.5175852066715,0.0012157557353973292,4.891523585758179
17576,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None'})",0.0021300766827605793,0.037801760863391085,0.001647259301334848,0.7733333333333333,20.457600801402453,0.0015667386519524471,4.244992231485039
10786,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Animal_None/Other'})",0.0021300766827605793,0.039165009940357855,0.0017040613462084636,0.8,20.426395939086294,0.001620636871754421,4.804174950298211
34345,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Animal_None/Other'})",0.002073274637886964,0.039165009940357855,0.001647259301334848,0.7945205479452054,20.286489117585703,0.0015660594795329132,4.676063618290257
36193,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only'})","frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Animal_None/Other'})",0.0013064470320931553,0.039165009940357855,0.001022436807725078,0.782608695652174,19.982343853453983,0.0009712697967265986,4.419840954274354
